"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1062","updateBookingWithoutToken()","","Tue Mar 17 02:41:02 UTC 2026","passed","Tue Mar 17 02:41:03 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithoutToken"
"","0","createBookingWithMissingFields()","","Tue Mar 17 02:41:03 UTC 2026","skipped","Tue Mar 17 02:41:03 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","createBookingWithMissingFields"
"","731","verifyBookingCreated()","","Tue Mar 17 02:40:57 UTC 2026","passed","Tue Mar 17 02:40:58 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","verifyBookingCreated"
"","1520","updateBooking()","","Tue Mar 17 02:40:53 UTC 2026","passed","Tue Mar 17 02:40:54 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","updateBooking"
"","1077","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Tue Mar 17 02:41:01 UTC 2026","passed","Tue Mar 17 02:41:02 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","1756","bookingSuccessfullyRemoved()","","Tue Mar 17 02:40:51 UTC 2026","passed","Tue Mar 17 02:40:53 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","bookingSuccessfullyRemoved"
"","379","updateBookingNonExistingId()","","Tue Mar 17 02:41:08 UTC 2026","passed","Tue Mar 17 02:41:09 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingNonExistingId"
"","1452","dataHasNotBeenChangedAfterUpdateBookingWithInvalidToken()","","Tue Mar 17 02:41:04 UTC 2026","passed","Tue Mar 17 02:41:06 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","dataHasNotBeenChangedAfterUpdateBookingWithInvalidToken"
"","1058","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Tue Mar 17 02:40:59 UTC 2026","passed","Tue Mar 17 02:41:00 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","1054","updateBookingWithNullMandatoryFields()","","Tue Mar 17 02:41:06 UTC 2026","passed","Tue Mar 17 02:41:07 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithNullMandatoryFields"
"","1124","findRecordByBookingId()","","Tue Mar 17 02:40:54 UTC 2026","passed","Tue Mar 17 02:40:55 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","findRecordByBookingId"
"","1118","updateBookingWithMissingMandatoryFields()","","Tue Mar 17 02:41:03 UTC 2026","passed","Tue Mar 17 02:41:04 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithMissingMandatoryFields"
"","1129","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Tue Mar 17 02:41:00 UTC 2026","passed","Tue Mar 17 02:41:01 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","1450","removeBookingWithoutToken()","","Tue Mar 17 02:41:07 UTC 2026","passed","Tue Mar 17 02:41:08 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","removeBookingWithoutToken"
"","1387","partiallyUpdateBooking()","","Tue Mar 17 02:40:55 UTC 2026","passed","Tue Mar 17 02:40:57 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","partiallyUpdateBooking"
"","1055","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Tue Mar 17 02:40:58 UTC 2026","passed","Tue Mar 17 02:40:59 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
